material,ethanol_pct,temperature_C,water_ppm,chloride_mg_L,dissolved_O2_ppm,TAN_mgKOH_g,conductivity_uS_cm,flow_velocity_m_s,exposure_hours,surface_roughness_Ra_um,inhibitor_present,pH,corrosion_rate_mm_per_y
LowCarbonSteel,5,41.91,218.6,10.88,6.87,0.145,38.89,0.586,137,1.175,1,6.79,0.03136
SS304,5,32.12,256.4,8.53,2.85,0.134,44.49,0.659,24,2.017,0,7.44,0.004
LowCarbonSteel,15,57.65,461.4,3.37,0.89,0.08,63.65,0.163,260,0.818,1,6.5,0.01613
Copper,10,20.97,606.5,12.66,1.02,0.102,43.1,0.413,81,1.41,1,6.26,0.02668
ZnCoatedSteel,0,31.31,288.1,8.64,4.43,0.041,33.85,0.259,183,0.924,1,5.84,0.00989
Brass,0,66.09,391,8.34,3.65,0.111,41.71,0.519,128,0.05,1,6.93,0.00878
SS304,5,57.7,234.6,2.48,1.13,0.131,40.65,0.142,290,1.07,1,7.22,0.0012
Brass,15,36.26,374,3.35,6.94,0.139,66.98,1.147,170,0.476,0,6.62,0.0151
Brass,5,64.79,306.4,9.12,3.29,0.197,47.24,0.944,169,0.956,0,5.94,0.00732
Al6061,10,45.56,221.2,8.89,7.35,0.166,53.7,0.875,117,1.922,0,6.87,0.00728
SS304,0,32.32,92.8,8.01,3.3,0.076,10.47,0.742,217,1.999,1,6.96,0.00305
Al6061,5,66.9,310.2,3.23,6.44,0.053,35.81,0.839,102,1.761,1,6.68,0.00301
ZnCoatedSteel,10,66.7,328.8,7.76,1.61,0.107,36.56,0.909,143,1.519,1,7.32,0.00478
LowCarbonSteel,10,47.72,583.5,11.83,2.08,0.142,44.47,0.585,144,1.483,0,6.97,0.02125
Brass,5,39.58,130.8,7.94,5.6,0.142,34.34,0.533,274,0.239,1,6.56,0.01576
ZnCoatedSteel,15,57.36,556.8,23.83,1.66,0.139,63.94,0.673,116,0.558,1,7.14,0.00674
SS304,0,39.91,118.9,2.84,4.34,0.075,18.86,1.028,154,1.456,0,7.01,0.00244
LowCarbonSteel,5,44.99,429.9,5.18,0.54,0.134,20.39,0.144,207,1.075,0,6.98,0.02658
Copper,0,44.72,322.1,8.7,4.47,0.085,11.52,1.119,207,1.661,0,6.77,0.02054
Al6061,10,56.34,319,18.26,1.48,0.137,58.5,0.224,184,1.06,1,6.58,0.00428
Brass,5,43.98,297.8,13.64,4.3,0.093,62.82,0.199,322,2.907,0,6.69,0.01692
Brass,0,22.66,155.5,0.31,6.26,0.08,12.06,0.05,99,0.531,1,6.61,0.03248
SS304,15,22.06,364.7,2.05,2.34,0.09,77.27,0.086,139,1.257,0,6.82,0.00414
Al6061,0,45.52,323.1,3.67,3.54,0.092,29.07,0.653,332,0.921,1,7.61,0.00788
Copper,10,58.33,443.3,3.27,2.52,0.142,66.24,0.395,124,2.504,1,6.18,0.0147
LowCarbonSteel,5,21.84,263.5,18.54,1.31,0.155,28.22,0.225,120,1.415,0,7.35,0.08878
ZnCoatedSteel,15,45.78,366.6,11.21,7.86,0.116,50.19,1.13,132,1.144,0,6.22,0.00943
SS304,10,21.58,157.6,4.05,4.73,0.101,42.84,0.43,128,1.201,1,6.43,0.00341
LowCarbonSteel,0,45.1,319.4,7.59,3.56,0.159,10.99,0.265,331,1.207,0,6.2,0.02431
ZnCoatedSteel,5,68.43,314.2,12.89,1.51,0.063,41.51,1.339,48,1.779,1,6.28,0.00429
Copper,10,55.59,369.1,14.29,6,0.151,41.38,0.91,64,0.444,1,5.59,0.0123
LowCarbonSteel,5,64.22,45.7,14.51,1.42,0.096,34.51,1.266,234,1.034,0,6.72,0.02639
ZnCoatedSteel,15,32.78,153.6,15.16,6.81,0.184,46.87,1.268,322,1.112,0,6.39,0.02447
Copper,15,24.54,551,4.27,0.76,0.169,62.23,0.539,92,1.235,1,6.12,0.0289
SS304,0,16.11,169.9,4.24,3.75,0.095,10.55,1.233,203,0.891,0,7.24,0.01022
Brass,15,27.94,452.9,5.16,6.82,0.216,63.73,0.94,189,1.91,0,6.86,0.01963
SS304,10,26.46,398.5,17.86,4.4,0.123,60.99,0.949,254,1.359,0,6.47,0.00605
SS304,0,22.01,310,1.27,3.92,0.138,16.94,0.381,247,2.061,0,6.2,0.00584
LowCarbonSteel,15,56.26,331.9,5.65,1.63,0.152,48.83,0.897,117,1.094,0,6.81,0.03059
ZnCoatedSteel,5,58.64,280.8,5.79,7.53,0.107,34.64,0.59,164,1.96,1,6.92,0.00771
Brass,15,49.39,435.2,13.55,4.77,0.206,62.4,0.208,303,0.906,0,6.4,0.01464
ZnCoatedSteel,5,24.44,344.5,11.26,6.09,0.159,37.85,0.418,73,1.399,0,6.49,0.02822
Copper,0,25.04,241.6,9.99,5.69,0.086,21.6,1.024,193,1.457,0,7.15,0.04059
LowCarbonSteel,10,56.87,384.4,20.33,2.84,0.133,33.24,0.428,295,1.699,0,6.5,0.03097
SS304,5,20.85,354.2,3.01,6.99,0.102,28.65,1.517,71,1.231,1,6.6,0.00273
ZnCoatedSteel,0,50.87,257.6,9.3,7.21,0.063,23.02,0.218,150,1.57,1,7.53,0.01226
LowCarbonSteel,0,18.41,360.9,7.23,5.24,0.109,26.17,0.1,153,1.863,0,6.23,0.08189
Copper,5,25.09,186.1,5.78,4.89,0.108,44.8,0.139,333,1.339,0,5.74,0.02104
Al6061,5,65.57,298.3,7.7,5.07,0.109,50.02,0.596,152,1.241,1,6.95,0.00361
SS304,10,19.81,146.6,8.06,5.96,0.148,25.75,0.649,161,0.964,0,5.94,0.01053
ZnCoatedSteel,15,38.27,340.6,4.77,7.34,0.095,54.03,0.703,239,0.05,1,6.2,0.01003
ZnCoatedSteel,10,25.68,427.9,15.87,4.93,0.141,31.36,1.314,43,2.59,0,6.55,0.02698
LowCarbonSteel,10,68.36,280.6,5.91,5.87,0.158,55.83,1.008,189,1.98,0,6.25,0.02949
Copper,10,68.93,197.3,10.03,5.44,0.157,54.4,0.407,160,1.913,0,6.21,0.00844
LowCarbonSteel,10,51.23,169.8,0.76,3.71,0.148,56.03,0.495,221,0.556,0,6.07,0.02289
Al6061,5,21.76,262.2,2.95,5.12,0.121,41.64,1.093,165,1.608,1,6.46,0.01522
SS304,10,38.13,157.1,8.39,5.41,0.103,51.6,0.04,158,1.453,1,7.15,0.00217
SS304,5,62.43,315.2,8.75,6.18,0.153,22.32,0.448,250,2.272,0,6.8,0.00104
Copper,15,37.02,375.9,12.08,1.07,0.113,66.83,0.178,96,1.047,0,6.87,0.02375
Copper,5,29,281,5.49,6.2,0.171,28.04,0.058,136,1.74,0,6.95,0.04847
ZnCoatedSteel,10,54.83,228.5,8.8,2.34,0.11,36.95,0.975,225,1.416,0,6.45,0.01049
ZnCoatedSteel,15,64.54,285.1,7.59,7.12,0.169,70.37,1.282,291,1.833,0,7.42,0.01141
SS304,0,67.96,178.5,2.53,3.84,0.117,15.35,0.248,103,1.001,0,6.11,0.00081
ZnCoatedSteel,0,62.07,258.8,0.68,6.32,0.082,31.61,0.732,50,2.769,1,7.01,0.00561
Copper,5,50.16,133.3,4.58,0.83,0.134,41.13,0.958,51,0.511,1,7.05,0.01212
Brass,15,37.35,465.2,21.48,1.24,0.105,67.38,0.154,82,0.881,1,7.13,0.01245
LowCarbonSteel,5,36.13,243.5,4.52,3.16,0.13,25.05,0.863,304,1.428,0,6.39,0.05573
LowCarbonSteel,5,34.43,362.8,2.02,6.25,0.09,32.22,0.677,227,1.336,1,6.63,0.04846
LowCarbonSteel,0,42.54,230.4,9.42,1.49,0.126,0.5,0.481,313,0.469,0,6.67,0.04611
Brass,15,32.66,368.3,21.35,4.14,0.177,65.25,0.03,326,0.914,1,6.42,0.01083
SS304,10,26.47,127.9,14.17,2.64,0.128,47.58,0.093,306,0.627,0,7.07,0.00437
Al6061,15,16.06,364.3,20.14,5.87,0.21,67.33,0.772,319,1.136,1,6.63,0.02118
Al6061,10,66.73,265,3.88,1.23,0.153,25.19,0.645,57,0.723,0,6.44,0.00479
Copper,0,57.53,405.4,10.3,5.06,0.126,17.46,1.244,200,1.199,0,7.31,0.01895
Brass,15,55.61,343.3,18.99,2.87,0.147,56.67,1,164,1.051,0,5.5,0.00952
Al6061,10,63.28,468.6,0.73,1.91,0.119,35.58,0.565,335,0.944,0,7.09,0.00564
SS304,0,28.53,398.8,0.26,2.37,0.118,20.16,0.351,261,1.546,0,7.08,0.00346
Brass,15,44.11,474.5,7.32,2.55,0.099,69.65,0.285,147,0.988,0,6.26,0.01645
SS304,5,42.05,406.4,2.81,4.36,0.092,20.33,0.199,285,1.742,0,7.26,0.00285
Copper,10,46.48,277.7,3.07,4.23,0.106,42.67,0.203,327,1.336,0,6.18,0.01856
SS304,5,53.01,457.7,7.74,6.61,0.091,37.59,0.469,307,1.146,0,6.37,0.0016
ZnCoatedSteel,10,28.06,480.9,7.4,0.9,0.174,44.88,0.314,173,0.904,0,6.33,0.02637
Brass,10,27.14,248.2,9.04,7.46,0.073,60.03,0.199,133,1.524,1,6.89,0.02155
ZnCoatedSteel,5,55.01,381.4,29.16,7.24,0.101,37.29,1.106,76,0.126,0,6.3,0.01147
Brass,10,42,420.7,20.68,1.5,0.032,34.64,0.462,79,1.585,1,6.64,0.01597
ZnCoatedSteel,5,41.66,239.5,36.94,2.47,0.147,31.29,0.036,270,1.36,0,5.75,0.01302
Brass,10,59.19,282.5,30.13,6.08,0.153,59.39,0.35,323,1.02,0,6.41,0.01706
Al6061,10,40.89,152.4,17.88,5.04,0.173,52.25,0.369,76,1.264,0,7.06,0.0139
Brass,15,50.67,393,7.07,1.53,0.163,57.01,0.625,239,1.961,0,5.82,0.01012
Al6061,10,65.77,275.3,10.12,4.44,0.118,59.85,1.191,150,1.938,0,6.69,0.00653
ZnCoatedSteel,0,32.82,48.2,2.95,3.76,0.128,7.22,0.436,302,2.02,0,6.8,0.01539
SS304,15,57.41,534.9,17,0.69,0.214,66.24,0.755,312,1.166,0,5.95,0.00135
ZnCoatedSteel,5,57.58,493.5,5.53,3.6,0.132,28.82,0.831,195,2.794,1,6.66,0.00551
LowCarbonSteel,5,44.1,314,8.17,6.48,0.104,19.63,0.026,190,1.166,1,6.91,0.02386
LowCarbonSteel,0,36.55,338.4,4.41,5.56,0.112,29.23,0.764,189,2.35,0,6.25,0.03669
ZnCoatedSteel,10,49.51,323.5,4.27,0.89,0.137,47.8,1.024,85,1.592,0,6.72,0.01602
ZnCoatedSteel,15,29.78,258.9,4.18,1.65,0.161,68.41,0.059,310,0.9,0,6.3,0.01432
ZnCoatedSteel,0,56.62,203.1,5.84,1.76,0.05,24.87,0.967,268,0.893,0,6.85,0.01204
ZnCoatedSteel,15,42.03,357,15.04,7.14,0.132,68.68,0.589,134,1.186,1,6.98,0.01001
Copper,10,26.75,438.2,10.49,5.32,0.197,43.17,0.53,97,0.965,0,6.53,0.03261
LowCarbonSteel,0,64.87,194.5,0.42,2.5,0.13,43.6,0.359,29,0.947,1,7.19,0.01488
Al6061,5,53.09,110.4,6.66,2.17,0.078,26.85,0.643,226,1.337,1,6.77,0.00402
Brass,15,34.03,439.1,3.16,2.06,0.157,52.79,0.329,259,0.515,0,6.8,0.01447
LowCarbonSteel,10,36.95,178.6,13.17,0.9,0.142,56.37,1.374,240,0.573,0,7.3,0.08183
Brass,5,44.82,200.7,4.24,5.32,0.119,34.26,0.427,192,0.655,0,6.7,0.01378
Brass,15,31.51,411.4,2.27,2.64,0.163,59.16,0.124,325,1.231,0,6.54,0.01898
Copper,10,60.03,435.4,12.26,7.71,0.109,51.11,0.316,40,0.738,1,6.02,0.00604
Copper,0,59.04,196.2,6.02,1.97,0.084,31.09,0.471,307,0.804,0,6.69,0.01496
ZnCoatedSteel,5,67.65,441.2,0.36,3.82,0.122,46.81,0.069,265,1.34,0,7.1,0.00737
Copper,15,67.18,382.3,18.94,5.87,0.217,76.69,0.558,252,1.501,0,6.52,0.01451
Al6061,5,59.55,372.8,8.4,7.23,0.176,18.18,0.514,53,0.956,0,6.82,0.00454
Copper,15,63.83,264.2,19.19,0.96,0.192,70.52,0.185,100,1.577,1,7.27,0.01345
Copper,15,58.58,371.4,7.3,2.58,0.208,71.51,0.227,117,0.759,0,6.46,0.01183
SS304,15,27.64,283.6,0.79,5.2,0.146,64.39,0.493,273,0.911,1,5.79,0.002
Brass,0,62.99,246.5,13.36,4.16,0.14,33.63,0.324,187,1.113,0,6.62,0.00689
SS304,15,23.12,341.8,0.59,7.44,0.159,55.63,0.303,223,1.511,0,6.22,0.00644
SS304,5,33.56,200.6,2.57,7.52,0.154,31.24,0.488,30,0.309,0,6.91,0.00332
ZnCoatedSteel,10,67.95,314.1,16.14,2.88,0.051,46.35,0.244,55,1.348,0,5.79,0.00849
Brass,15,22.35,301.2,17.46,4.05,0.15,61.9,0.281,149,2.203,0,6.72,0.03717
Al6061,0,41.93,408.7,6.65,2.48,0.104,25.18,0.113,45,1.721,1,6.68,0.00981
ZnCoatedSteel,0,30.81,261.3,12.37,1.8,0.138,20.54,0.513,216,0.868,1,6.88,0.01129
Brass,15,42.59,262.1,10.54,1.42,0.165,73.4,0.238,219,1.555,0,6.53,0.01419
Al6061,5,33.59,475.9,0.85,6.59,0.232,48.84,1.181,216,1.429,0,6.46,0.01027
LowCarbonSteel,10,21.5,294.1,4.64,1.86,0.124,45.85,0.549,256,1.274,0,7.11,0.08303
Brass,10,44.16,238.2,9.26,6.83,0.127,63.81,0.559,145,1.095,0,6.62,0.01772
Copper,15,67.15,284.9,7.32,7.42,0.161,66.91,0.893,79,1.208,0,6.56,0.00849
Copper,15,17.17,491.1,5.75,1.18,0.094,59.14,1.005,211,0.865,0,6.29,0.04406
Copper,5,18.48,345,3.26,4.73,0.052,21.03,0.584,190,1.89,0,5.86,0.02457
Copper,15,51.81,472.6,2.18,5.7,0.132,74.09,0.349,108,1.373,1,7.3,0.01723
SS304,15,38.83,405.1,2.12,7.81,0.096,58.7,0.296,76,1.068,1,6.86,0.00238
SS304,10,40.89,549,15.46,4.3,0.136,62.42,0.28,240,0.576,0,6.59,0.00229
ZnCoatedSteel,10,19.76,238.2,4.76,7.9,0.094,38.23,0.211,33,1.023,1,7,0.02419
LowCarbonSteel,10,31.72,343.4,2.65,4.59,0.108,25.86,1.206,116,0.719,0,7.26,0.06548
Al6061,5,20.8,391.9,31.32,5.87,0.211,39.06,0.009,183,1.8,0,7.02,0.01583
Copper,0,25.14,128.2,11.74,3.59,0.098,0.5,0.389,198,1.847,0,6.46,0.04654
Brass,10,54.21,493.3,6.68,3.47,0.138,64.42,0.784,182,1.909,0,6.52,0.01753
Brass,10,31.37,475.6,38.3,5.84,0.175,37.44,0.449,42,2.278,1,6.5,0.0135
Copper,10,53.07,347.8,4.52,6.42,0.064,60.09,0.754,322,0.459,0,6.94,0.01408
LowCarbonSteel,5,16.54,0,12.03,7.57,0.114,33.07,0.459,115,2.007,0,7.13,0.12382
Copper,0,15.22,390.9,12.38,0.94,0.143,17.77,0.801,124,0.092,0,6.94,0.04747
LowCarbonSteel,5,58.12,250.9,1.99,3.59,0.108,20.86,0.896,205,0.05,0,6.45,0.02635
Copper,5,27.26,359.8,18.33,2.07,0.108,30.19,0.616,260,0.05,0,6.63,0.04246
LowCarbonSteel,10,58.59,333.8,5.89,3.97,0.204,68.74,0.499,310,0.611,1,7.3,0.01502
SS304,0,69.69,73.6,0.9,1.04,0.088,17.19,0.93,92,0.869,0,6.34,0.00105
SS304,10,62.23,75,0.67,7.62,0.163,58.87,0.644,322,0.05,0,6.21,0.00118
LowCarbonSteel,15,60.23,530.4,8.73,7.18,0.158,60.32,0.418,295,1.899,1,6.01,0.01539
Brass,5,62.03,278.9,13.88,4.64,0.165,23.19,0.919,103,2.267,0,6.4,0.00823
SS304,10,15.39,164,22.14,5.66,0.157,49.62,0.89,256,1.01,1,5.92,0.00806
Brass,0,47.42,314.6,2.54,6.68,0.132,14.29,0.773,278,1.025,0,7.08,0.0091
SS304,5,41.16,140.8,11.56,4.28,0.098,41.38,0.171,250,1.501,1,6.7,0.00277
Al6061,5,34.05,215.3,3.77,4.09,0.156,16.4,0.872,81,0.733,0,6.54,0.01467
Brass,0,53.48,318.9,23.75,0.9,0.041,34.89,0.324,251,2.717,1,6.29,0.01083
LowCarbonSteel,5,18.44,303.4,5.21,5.59,0.049,38.83,0.593,101,0.881,0,6.55,0.0737
Brass,5,55.42,293.8,9.99,0.65,0.081,50.14,0.864,275,1.087,1,7.07,0.00789
Brass,0,62.74,475,15.24,4.12,0.106,18.06,0.267,156,0.731,0,6.2,0.00785
Al6061,0,69.33,264,22.59,7.31,0.148,19.74,0.129,318,0.697,1,6.69,0.00258
Brass,5,18.27,416.5,13.69,5.75,0.14,46.81,0.15,98,1.619,1,6.9,0.0226
LowCarbonSteel,10,51.26,231.3,1.77,6.91,0.154,42.85,0.782,322,0.05,0,6.27,0.0301
ZnCoatedSteel,5,53.61,385.4,8.37,0.5,0.069,30.07,0.304,63,0.738,0,7.05,0.01608
Copper,0,25.82,249.1,3.06,3.99,0.215,12.34,0.67,290,1.766,0,6.45,0.03221
Al6061,0,38.93,395.1,2.58,5.43,0.142,8.3,0.857,192,1.167,0,7.24,0.01059
Copper,10,67.32,484.6,4.31,2.64,0.129,15.26,0.341,306,0.924,0,6.07,0.01139
Brass,5,44.66,161,11.88,5.88,0.103,47.99,0.117,288,1.324,0,6.76,0.01597
Copper,5,46.84,148.1,17.12,1.31,0.104,48.68,0.189,177,0.314,0,6.36,0.01727
ZnCoatedSteel,0,53.72,166.6,18.16,1.83,0.169,30.68,1.217,180,0.05,0,6.8,0.00872
Al6061,15,56.4,420,10.62,1.67,0.183,65.47,0.459,42,0.83,1,6.38,0.00433
ZnCoatedSteel,5,19.91,462.1,1.71,3.17,0.189,21.28,0.833,237,1.507,1,6.94,0.02301
SS304,15,38.03,254.1,11.48,4.77,0.176,60.86,0.147,216,2.114,1,6.5,0.00244
SS304,10,67.67,717,10.83,3.88,0.156,33.76,0.582,201,0.825,1,6.7,0.00066
Al6061,0,25.3,419.5,2.47,1.02,0.136,20.07,0.48,146,1.745,0,6.22,0.01921
ZnCoatedSteel,0,42.36,207.7,5.22,6.08,0.184,7.45,0.544,309,1.857,0,6.22,0.0123
SS304,15,29.61,232.4,19.73,3.18,0.152,78.01,0.378,144,1.663,1,6.61,0.00412
Al6061,10,41.29,267.5,3.39,5.13,0.126,62.34,0.429,74,1.444,1,6.03,0.00445
Brass,10,27.65,459.1,9.5,2.91,0.16,57.28,0.328,32,0.298,0,7.48,0.02881
Brass,10,65.79,465.2,0.8,3.82,0.049,45.55,0.794,111,2.584,0,6.23,0.01051
SS304,0,61.82,312.1,9.4,6.76,0.11,21.93,0.629,128,0.85,0,6.43,0.00138
LowCarbonSteel,10,59.04,511.9,9.69,3.67,0.157,44.52,0.077,280,1.26,0,7.05,0.02395
LowCarbonSteel,5,50.94,263.2,12.21,6.43,0.143,33.56,0.181,93,1.162,1,6.52,0.01715
SS304,5,28.6,379,21.53,0.61,0.182,35.33,0.622,133,2.422,0,6.54,0.00489
SS304,10,60.72,469.6,9.15,2.77,0.074,58.82,0.284,252,0.93,1,6.63,0.00088
SS304,5,56.76,426.2,2.02,2.15,0.141,28.86,0.278,149,2.373,0,6.96,0.0012
ZnCoatedSteel,5,27.92,277.7,19.97,1.31,0.035,36.64,0.158,308,0.05,1,6.73,0.01812
Copper,15,15.59,532.2,22.65,1.18,0.123,67.94,0.629,136,0.714,0,5.85,0.03473
ZnCoatedSteel,0,30.36,161.1,6.67,3.5,0.048,19.31,1.01,245,1.994,0,6.49,0.02311
Brass,15,58.32,388.6,17.99,4.5,0.037,59.75,0.785,264,1.803,0,6.61,0.01442
Copper,10,18.16,337,11.92,4.38,0.191,43.63,0.543,260,1.065,1,6.85,0.0258
Copper,5,27,265.9,7.62,4.57,0.051,22.79,0.338,103,0.916,0,7.1,0.0376
Copper,5,23.64,319,14.12,2.47,0.171,52.19,1.013,100,1.66,0,6.72,0.04584
Al6061,15,52.36,405,19.1,5.94,0.249,67.15,0.811,91,0.382,0,5.7,0.00512
Copper,10,53.22,290.5,1.15,6.03,0.194,53.11,0.53,115,1.367,1,6.59,0.01168
Al6061,10,57.87,497.5,1.37,0.65,0.139,64.29,0.1,266,0.878,0,6.39,0.00433
Copper,5,62.86,220.9,9.71,2.41,0.048,34.88,0.514,273,1.361,0,6.72,0.01549
Brass,10,48.95,286.2,14.19,7.72,0.121,49.16,1.01,46,0.612,0,7.17,0.01578
LowCarbonSteel,15,31.51,200.4,7.35,3.53,0.122,58.62,0.59,227,1.068,0,6.15,0.059
Copper,5,45.72,193.3,6.52,2.77,0.053,33.71,0.817,318,2.401,0,7.8,0.02271
Al6061,0,50.19,127.5,3.77,4.27,0.081,10.97,0.095,175,2.415,0,6.27,0.00772
Al6061,10,17.8,320.5,21.2,7.6,0.181,44.87,0.604,311,1.447,0,6.33,0.02537
ZnCoatedSteel,10,65.13,179,8.18,3.47,0.109,48.88,0.515,121,0.703,1,6.61,0.00625
Copper,10,69.67,373.1,2.09,4.04,0.109,31.47,0.112,118,1.045,0,7.05,0.01079
LowCarbonSteel,0,41.08,127.8,11.04,2.5,0.178,7.31,0.489,319,1.383,0,6.81,0.02936
LowCarbonSteel,15,26.93,447.8,5.05,3.25,0.169,76.47,0.267,271,1.23,1,6.28,0.04098
Copper,0,33.16,258.7,14.97,7.19,0.063,23.51,0.773,26,1.51,1,7.14,0.02897
Brass,10,25.87,567.1,0.81,3.01,0.142,57.08,0.015,316,1.391,0,6.77,0.02507
ZnCoatedSteel,10,29.7,545.6,12.26,0.81,0.17,55.21,1.25,315,0.948,0,5.91,0.01873
SS304,10,53.84,403.9,4.99,0.78,0.13,52.1,0.421,77,0.247,1,6.71,0.00117
ZnCoatedSteel,5,54.32,185.4,9.31,6.07,0.06,35.59,0.701,302,1.508,0,6.45,0.0105
Copper,0,55.56,287.5,10.07,2.4,0.109,19.56,1.081,333,0.656,1,6.37,0.00979
LowCarbonSteel,10,51.32,411.7,11.99,2.24,0.181,54.11,0.019,311,1.339,0,6.4,0.03226
Al6061,0,23.09,295.9,8.75,6.41,0.114,32.82,1.013,225,2.457,0,6.63,0.01954
Brass,5,61.35,474.6,3.65,1.67,0.095,34.32,0.547,120,1.329,0,6.18,0.00678
ZnCoatedSteel,5,65.69,323.3,13.13,6.75,0.122,35.35,1.054,279,1.03,0,7.23,0.00788
Copper,15,35.04,605.4,5.14,5.78,0.178,78.75,0.18,216,1.375,1,6.09,0.01979
Brass,15,34.62,479.4,16.57,6.05,0.162,68.54,0.401,65,2.294,0,6.08,0.01522
Brass,10,60.02,407.6,2.29,1.4,0.131,49.96,0.787,47,0.913,1,6.44,0.00841
Copper,10,24.57,406.2,5.44,0.79,0.181,44.39,0.765,228,0.613,0,6.71,0.03142
Al6061,15,58.89,483.1,0.36,4.52,0.088,65.95,0.107,252,2.06,0,6.49,0.00553
ZnCoatedSteel,5,52.11,311.5,17,4.05,0.104,42.61,0.306,205,2.636,1,6.76,0.00914
ZnCoatedSteel,10,40.63,385.2,3.44,6.51,0.105,36.22,0.654,188,1.052,0,7.23,0.01503
Copper,0,62.54,209.1,16.32,6.29,0.088,44.89,0.069,254,1.496,0,6.58,0.01378
Copper,15,32.49,426.5,18.5,5.03,0.126,54.49,0.121,127,0.935,0,6.74,0.03508
Brass,5,56.36,377.7,6.16,0.86,0.056,44.87,0.027,318,0.619,0,6.25,0.01165
ZnCoatedSteel,5,36.84,0,14.61,8,0.034,35.52,1.108,141,1.051,1,6.02,0.01273
ZnCoatedSteel,0,53.62,602,16.71,7.6,0.151,5.48,0.988,198,0.953,0,7.18,0.01381
ZnCoatedSteel,10,30.25,175.5,10.2,6.75,0.153,65.03,0.613,170,1.607,0,7.08,0.01649
ZnCoatedSteel,0,39.31,0,8.05,2.86,0.131,24.81,1.076,285,1.418,0,6.26,0.01822
Copper,5,23.97,385.9,5.09,6.6,0.125,15.03,0.103,211,1.524,0,6.92,0.03896
SS304,5,66.04,398.4,2.63,0.82,0.03,39.03,0.157,58,0.996,0,7.06,0.00102
ZnCoatedSteel,15,16.34,385.9,7.13,5.48,0.158,52.8,0.982,119,0.546,1,6.74,0.02886
Brass,10,53.04,208.9,6.13,7.29,0.158,50.78,0.499,79,2.114,0,6.06,0.01367
SS304,10,19.78,156.8,4.31,2.56,0.094,26.09,0.958,210,1.176,1,6.67,0.00456
Al6061,0,42.77,331.5,16.23,4.86,0.061,0.5,0.201,142,1.193,0,6.82,0.01023
Brass,5,21.8,356.1,30.61,1.67,0.115,27.99,0.187,28,2.09,0,7.56,0.03148
LowCarbonSteel,5,64.84,430.9,6,1.07,0.059,34.09,0.006,161,1.135,0,6.85,0.01664
Al6061,15,15.26,534.8,3.73,6.72,0.115,56.69,0.814,325,0.352,0,6.66,0.03422
SS304,10,56.61,307.5,0.59,5.98,0.107,41.34,0.213,303,0.807,0,6.73,0.00156
LowCarbonSteel,5,33.66,325.1,20.89,4.69,0.173,16.33,0.724,307,2.382,1,7.34,0.03958
Copper,10,69.22,437.8,4.67,7.63,0.216,39.5,0.879,145,1.753,0,6.43,0.00927
ZnCoatedSteel,5,54.97,231.9,6.51,6.67,0.196,14.39,0.269,66,1.108,1,7.2,0.00757
ZnCoatedSteel,0,44.2,378.8,4.93,1.96,0.055,24.77,0.433,158,1.432,0,6.67,0.01287
LowCarbonSteel,0,25.75,149.1,8.92,5.57,0.051,23.57,0.937,38,1.492,0,6.76,0.0625
Copper,5,42.73,485.9,11.06,3.75,0.134,14.34,0.622,69,0.258,0,6.82,0.02266
Brass,5,55.39,413.9,7.03,0.7,0.118,30.95,0.397,325,1.137,0,6.65,0.01995
SS304,15,45.8,286,3.5,4.99,0.136,55.29,0.816,317,0.53,0,6.52,0.00168
LowCarbonSteel,5,21.91,201.1,9.73,3.25,0.17,44.04,0.08,207,1.198,1,6.87,0.05487
LowCarbonSteel,0,27.27,365.9,4.86,2.32,0.166,11.23,0.365,212,1.264,0,6.93,0.08576
SS304,15,45.16,324.1,18.14,1.61,0.186,81.31,1.084,69,1.037,0,6.49,0.00263
Copper,10,59.97,272.7,5.11,1.74,0.129,69.52,0.025,284,1.23,1,7.2,0.00942
ZnCoatedSteel,15,30.12,192,5.9,4.2,0.149,73.73,1.242,52,1.921,0,6.41,0.03694
Al6061,0,20.79,349.3,25.43,5,0.094,17.74,1.084,71,0.522,0,6.96,0.02455
Al6061,0,58.64,583.1,5.52,7.4,0.136,17.52,0.685,91,2.634,0,6.99,0.00533
ZnCoatedSteel,5,63.46,294.4,11.25,7.21,0.13,29.3,0.645,120,2.359,0,6.78,0.0071
Brass,10,33.99,391.1,6.66,7.18,0.129,38.87,0.176,112,0.789,0,6.49,0.02384
Al6061,10,64.94,333,3.92,4.77,0.135,39.24,0.483,59,0.96,1,6.28,0.00301
ZnCoatedSteel,10,18.97,289.9,6.4,4.47,0.2,63.86,0.299,127,1.775,0,6.69,0.02657
Copper,0,27.63,212.6,16.73,3.3,0.119,21.11,0.914,252,1.044,0,6.58,0.02954
Brass,15,62.78,526.6,3.77,6.95,0.17,64.48,0.655,104,2.134,0,6.52,0.0134
LowCarbonSteel,5,18.87,324.5,8.57,6.59,0.116,26.51,0.081,131,1.333,1,6.79,0.06772
Al6061,10,30.16,299.4,12.85,2.37,0.063,49.82,0.265,141,2.375,1,6.58,0.01125
ZnCoatedSteel,0,25.36,345.4,8.06,6.65,0.072,23.28,0.368,330,0.931,0,7.36,0.02798
Brass,10,64.14,441,1.46,1.88,0.061,49.93,0.109,63,0.717,1,6.48,0.00547
SS304,15,20.86,385.5,1.52,1.71,0.223,62.43,0.881,305,1.291,0,6.74,0.00718
